id,created_at,favorite_count,retweet_count,Reply_Count,Quote Count,text,entities,screen_name,Source,Place,User ID,Lang,MediaURL
1200564823244689410,2019-11-29 23:58:53+00:00,0,0,0,0,Let’s go Dawgs!! #Uwfootball #AppleCup2019 @UW_Football #PurpleReign https://t.co/a4tqIL1zbw,"{'hashtags': [{'text': 'Uwfootball', 'indices': [17, 28]}, {'text': 'AppleCup2019', 'indices': [29, 42]}, {'text': 'PurpleReign', 'indices': [56, 68]}], 'urls': [], 'user_mentions': [{'screen_name': 'UW_Football', 'name': 'Washington Football', 'id': 224511378, 'id_str': '224511378', 'indices': [43, 55]}], 'symbols': [], 'media': [{'id': 1200564796560564225, 'id_str': '1200564796560564225', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/EKlDUlTU4AEe76L.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlDUlTU4AEe76L.jpg', 'url': 'https://t.co/a4tqIL1zbw', 'display_url': 'pic.twitter.com/a4tqIL1zbw', 'expanded_url': 'https://twitter.com/DRE206/status/1200564823244689410/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 511, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1538, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 901, 'h': 1200, 'resize': 'fit'}}}]}",DRE206,Twitter for iPhone,"Place(_api=<tweepy.api.API object at 0x7fb4ba97ca90>, id='300bcc6e23a88361', url='https://api.twitter.com/1.1/geo/id/300bcc6e23a88361.json', place_type='city', name='Seattle', full_name='Seattle, WA', country_code='US', country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb4ba97ca90>, type='Polygon', coordinates=[[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]]), attributes={})",32148905,en,http://pbs.twimg.com/media/EKlDUlTU4AEe76L.jpg
1200564818119290881,2019-11-29 23:58:52+00:00,13,0,5,0,@FOXSports we are all fully invested now. Please give us updates. #applecup #huskies #Cougars #uw #wsu #Pac12 https://t.co/73jW1UrLjJ,"{'hashtags': [{'text': 'applecup', 'indices': [66, 75]}, {'text': 'huskies', 'indices': [76, 84]}, {'text': 'Cougars', 'indices': [85, 93]}, {'text': 'uw', 'indices': [94, 97]}, {'text': 'wsu', 'indices': [98, 102]}, {'text': 'Pac12', 'indices': [103, 109]}], 'urls': [], 'user_mentions': [{'screen_name': 'FOXSports', 'name': 'FOX Sports', 'id': 16877611, 'id_str': '16877611', 'indices': [0, 10]}], 'symbols': [], 'media': [{'id': 1200564767628283904, 'id_str': '1200564767628283904', 'indices': [110, 133], 'media_url': 'http://pbs.twimg.com/media/EKlDS5hVUAAvcth.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlDS5hVUAAvcth.jpg', 'url': 'https://t.co/73jW1UrLjJ', 'display_url': 'pic.twitter.com/73jW1UrLjJ', 'expanded_url': 'https://twitter.com/WhatsUpNW/status/1200564818119290881/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 584, 'resize': 'fit'}, 'small': {'w': 680, 'h': 331, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 996, 'resize': 'fit'}}}]}",WhatsUpSW,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x7fb4ba97ca90>, id='003314b86e295845', url='https://api.twitter.com/1.1/geo/id/003314b86e295845.json', place_type='city', name='Silver Firs', full_name='Silver Firs, WA', country_code='US', country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fb4ba97ca90>, type='Polygon', coordinates=[[[-122.187769, 47.834183], [-122.187769, 47.891348], [-122.111025, 47.891348], [-122.111025, 47.834183]]]), attributes={})",32764312,en,http://pbs.twimg.com/media/EKlDS5hVUAAvcth.jpg
1200564703493345280,2019-11-29 23:58:25+00:00,5,2,0,0,"With all due respect, this is the only #PurpleReign that matters to me. https://t.co/evPsoMUlJ3","{'hashtags': [{'text': 'PurpleReign', 'indices': [39, 51]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200564693955428352, 'id_str': '1200564693955428352', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/EKlDOnEWwAAFCBO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlDOnEWwAAFCBO.jpg', 'url': 'https://t.co/evPsoMUlJ3', 'display_url': 'pic.twitter.com/evPsoMUlJ3', 'expanded_url': 'https://twitter.com/JamChrisJoy/status/1200564703493345280/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 511, 'resize': 'fit'}, 'large': {'w': 800, 'h': 601, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 601, 'resize': 'fit'}}}]}",JamChrisJoy,Twitter for Android,,274790254,en,http://pbs.twimg.com/media/EKlDOnEWwAAFCBO.jpg
1200564640939294720,2019-11-29 23:58:10+00:00,1,0,0,0,#purplereign https://t.co/FPC2XWwC5k,"{'hashtags': [{'text': 'purplereign', 'indices': [0, 12]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200564632605249536, 'id_str': '1200564632605249536', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EKlDLChVUAAblsu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlDLChVUAAblsu.jpg', 'url': 'https://t.co/FPC2XWwC5k', 'display_url': 'pic.twitter.com/FPC2XWwC5k', 'expanded_url': 'https://twitter.com/pepsitim/status/1200564640939294720/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 930, 'h': 1101, 'resize': 'fit'}, 'small': {'w': 574, 'h': 680, 'resize': 'fit'}, 'large': {'w': 930, 'h': 1101, 'resize': 'fit'}}}]}",pepsitim,Twitter for iPhone,,223591269,qme,http://pbs.twimg.com/media/EKlDLChVUAAblsu.jpg
1200564608060100609,2019-11-29 23:58:02+00:00,0,0,0,0,#PurpleReign https://t.co/hGeBCnRzDY,"{'hashtags': [{'text': 'PurpleReign', 'indices': [0, 12]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200564603077349376, 'id_str': '1200564603077349376', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EKlDJUhVUAAch0v.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlDJUhVUAAch0v.jpg', 'url': 'https://t.co/hGeBCnRzDY', 'display_url': 'pic.twitter.com/hGeBCnRzDY', 'expanded_url': 'https://twitter.com/blackgoldsmith/status/1200564608060100609/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 800, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 800, 'resize': 'fit'}}}]}",blackgoldsmith,Twitter for Android,,1172587352843157504,qme,http://pbs.twimg.com/media/EKlDJUhVUAAch0v.jpg
1200564574140784640,2019-11-29 23:57:54+00:00,0,0,0,0,"My little house panther makes this #AppleCup a little easier, still love you Cougs https://t.co/o2JFx3ucVZ","{'hashtags': [{'text': 'AppleCup', 'indices': [35, 44]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200564566335180800, 'id_str': '1200564566335180800', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/EKlDHLpUUAAO0gJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlDHLpUUAAO0gJ.jpg', 'url': 'https://t.co/o2JFx3ucVZ', 'display_url': 'pic.twitter.com/o2JFx3ucVZ', 'expanded_url': 'https://twitter.com/hallieannsutter/status/1200564574140784640/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}",hasutter,Twitter for iPhone,,790306170569265152,en,http://pbs.twimg.com/media/EKlDHLpUUAAO0gJ.jpg
1200564365465804800,2019-11-29 23:57:04+00:00,0,0,0,0,"#TurnoverSalmon
#BDTW 
#PurpleReign https://t.co/YZVXqOAwDb","{'hashtags': [{'text': 'TurnoverSalmon', 'indices': [0, 15]}, {'text': 'BDTW', 'indices': [16, 21]}, {'text': 'PurpleReign', 'indices': [23, 35]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1200564342984327168, 'id_str': '1200564342984327168', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EKlC6LmUwAA6fyN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlC6LmUwAA6fyN.jpg', 'url': 'https://t.co/YZVXqOAwDb', 'display_url': 'pic.twitter.com/YZVXqOAwDb', 'expanded_url': 'https://twitter.com/Rantor80/status/1200564365465804800/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}",Rantor80,Twitter for iPhone,,14966105,qme,http://pbs.twimg.com/media/EKlC6LmUwAA6fyN.jpg
1200564364878594048,2019-11-29 23:57:04+00:00,0,1,1,0,Looks like @cougsgo is not enjoying this Apple Cup. I still love you Jim! #applecup #GoDawgs https://t.co/7iwXt9Vpnl,"{'hashtags': [{'text': 'applecup', 'indices': [74, 83]}, {'text': 'GoDawgs', 'indices': [84, 92]}], 'urls': [], 'user_mentions': [{'screen_name': 'cougsgo', 'name': 'Jim Moore', 'id': 21168489, 'id_str': '21168489', 'indices': [11, 19]}], 'symbols': [], 'media': [{'id': 1200564357186244608, 'id_str': '1200564357186244608', 'indices': [93, 116], 'media_url': 'http://pbs.twimg.com/media/EKlC7AgU0AAR5Gr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKlC7AgU0AAR5Gr.jpg', 'url': 'https://t.co/7iwXt9Vpnl', 'display_url': 'pic.twitter.com/7iwXt9Vpnl', 'expanded_url': 'https://twitter.com/chewster83/status/1200564364878594048/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}",chewster83,Twitter for iPhone,,344247435,en,http://pbs.twimg.com/media/EKlC7AgU0AAR5Gr.jpg
1200563851751653377,2019-11-29 23:55:02+00:00,38,3,0,0,"@trent_mcduffie 💪 @trent_mcduffie 

#PurpleReign https://t.co/b8LIsoCr0y","{'hashtags': [{'text': 'PurpleReign', 'indices': [36, 48]}], 'urls': [], 'user_mentions': [{'screen_name': 'trent_mcduffie', 'name': 'Trent McDuffie', 'id': 3700921992, 'id_str': '3700921992', 'indices': [0, 15]}, {'screen_name': 'trent_mcduffie', 'name': 'Trent McDuffie', 'id': 3700921992, 'id_str': '3700921992', 'indices': [18, 33]}], 'symbols': [], 'media': [{'id': 1200563831220518913, 'id_str': '1200563831220518913', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EKlCcZIUwAE3mi5.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EKlCcZIUwAE3mi5.jpg', 'url': 'https://t.co/b8LIsoCr0y', 'display_url': 'pic.twitter.com/b8LIsoCr0y', 'expanded_url': 'https://twitter.com/UW_Football/status/1200563851751653377/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'large': {'w': 600, 'h': 338, 'resize': 'fit'}}}]}",UW_Football,Twitter Web App,,224511378,und,http://pbs.twimg.com/tweet_video_thumb/EKlCcZIUwAE3mi5.jpg
1200563747300859904,2019-11-29 23:54:37+00:00,1,0,0,0,"Seattle Marathon Expo!

Good luck to all the runners Sunday.

#runsea #seattlemarathon #BlackFriday #applecup… https://t.co/8SBevmVYHS","{'hashtags': [{'text': 'runsea', 'indices': [62, 69]}, {'text': 'seattlemarathon', 'indices': [70, 86]}, {'text': 'BlackFriday', 'indices': [87, 99]}, {'text': 'applecup', 'indices': [100, 109]}], 'urls': [{'url': 'https://t.co/8SBevmVYHS', 'expanded_url': 'https://twitter.com/i/web/status/1200563747300859904', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}], 'user_mentions': [], 'symbols': []}",Belcorva1,Twitter for Android,,811087462067900416,en,NA
